"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)"
5.5,-0.0450134277344,-4.90875244141
5.55,-0.0419616699219,-4.90875244141
5.6,-0.0419616699219,-4.92076873779
5.65,-0.0419616699219,-4.92076873779
5.7,-0.0419616699219,-4.91180419922
5.75,-0.0419616699219,-4.91485595703
5.8,-0.0389099121094,-4.92687225342
5.85,-0.0389099121094,-4.91771697998
5.9,-0.0389099121094,-4.91771697998
5.95,-0.0419616699219,-4.91771697998
6,-0.0358581542969,-4.91771697998
6.05,-0.0358581542969,-4.91771697998
6.1,-0.0419616699219,-4.92382049561
6.15,-0.0358581542969,-4.92687225342
6.2,-0.0358581542969,-4.92076873779
6.25,-0.0299453735352,-4.92382049561
6.3,-0.0358581542969,-4.92992401123
6.35,-0.0358581542969,-4.93583679199
6.4,-0.0299453735352,-4.92076873779
6.45,-0.0450134277344,-4.92687225342
6.5,-0.0358581542969,-4.92382049561
6.55,-0.0358581542969,-4.92687225342
6.6,-0.0389099121094,-4.93278503418
6.65,-0.0329971313477,-4.93583679199
6.7,-0.0268936157227,-4.92992401123
6.75,-0.0358581542969,-4.92992401123
6.8,-0.0299453735352,-4.9388885498
6.85,-0.0268936157227,-4.92992401123
6.9,-0.0299453735352,-4.93278503418
6.95,-0.0238418579102,-4.9388885498
7,-0.0209808349609,-4.92992401123
7.05,-0.0209808349609,-4.93278503418
7.1,-0.0209808349609,-4.94480133057
7.15,-0.0209808349609,-4.93278503418
7.2,-0.0299453735352,-4.9388885498
7.25,-0.0209808349609,-4.94480133057
7.3,-0.0209808349609,-4.9388885498
7.35,-0.0299453735352,-4.94480133057
7.4,-0.0179290771484,-4.9388885498
7.45,-0.0209808349609,-4.9388885498
7.5,-0.0209808349609,-4.94194030762
7.55,-0.0209808349609,-4.94785308838
7.6,-0.0299453735352,-4.93583679199
7.65,-0.0179290771484,-4.93583679199
7.7,-0.0209808349609,-4.93278503418
7.75,-0.0299453735352,-4.93583679199
7.8,-0.0209808349609,-4.94194030762
7.85,-0.0179290771484,-4.93278503418
7.9,-0.0179290771484,-4.93583679199
7.95,-0.0179290771484,-4.94480133057
8,-0.0299453735352,-4.93583679199
8.05,-0.0209808349609,-4.93583679199
8.1,-0.0209808349609,-4.93583679199
8.15,-0.0299453735352,-4.9388885498
8.2,-0.0179290771484,-4.93278503418
8.25,-0.0179290771484,-4.93278503418
8.3,-0.0209808349609,-4.94480133057
8.35,-0.0209808349609,-4.93583679199
8.4,-0.0299453735352,-4.93583679199
8.45,-0.0268936157227,-4.94480133057
8.5,-0.0179290771484,-4.93583679199
8.55,-0.0299453735352,-4.94194030762
8.6,-0.0179290771484,-4.93583679199
